Это ощущенье с каждой весной все острей.	Ощущенье финала
Это звание образовалось от латинского служащего.	Сержант
Считается, что это на человека может снизойти.	Благодать
"""Разверзлись... небесные"". Восполните пропуск."	ХЛЯби
"Скажите по-английски ""распорядительница""."	Стюардесса
Это крупнейшая река на территории австрийской земли.	Инн
Ведущего Русск. радио по фамилии Гонсалес зовут?	Марсель
"Этого девятого номера называют ""Зубастиком""?"	Роналдо
Генетическое заболевание трисомия-21 носит его имя?	Даун
Столица этой страны построена в форме самолета.	Бразилия
Именно их китайцы называют вечерними жителями	ЕВРОПЕЙЦЕВ
Сотрудниками этого были Глеб Жеглов и Володя Шарапов	МУР
Карлсон был самым лучшим в мире рисовальщиком их	Петухов
Если сын — лошак, то отец его, соответственно...	Жеребец
Нравы этой улицы описал Глеб Успенский.	Растеряева улица
Этим классиком философии Маяковский пренебрегал.	Гегелем
Ему мерещились мальчики кровавые в глазах.	Борис Годунов
Именно этот план предшествовал пятилетним планам.	ГОЭЛРО
Это для нас они китайцы, а они себя называют иначе.	Хань
Этой древней страной правил легендарный царь Крез.	Лидия
Такова настоящая фамилия поэта Антона Пришельца.	Ходаков
Для записей на этом языке используется хирагана	Японском
В этом урочище Сечь располагалась в 1712-1734 гг.	Алешки
"Скажите по-индонезийски ""лесной человек""."	Орангутанг
Именно так по-другому называется пчелиный клей.	Прополис
Именно такова настоящая фамилия Григория Горина.	Офштейн
"На латинском оно называется ""purgatorium""."	Чистилище
Таково второе имя композитора Кристофа Глюка.	Виллибальд
Оно находится в тектонической впадине Гхор.	Мертвое море
Именно их второе название — горгонарии.	Роговых кораллов
Если число делится на 7 и на 13, то оно делится на...	91
Именно он был награжден корзиной печенья.	Мальчиш-Плохиш
По мнению Совы, он был пятнистым и травоядным.	Щасвирнус
У этого киногероя гранаты были не той системы.	Верещагин
Ближайшей к Одессе столицей является ЭТОТ ГОРОД.	Кишинев
Этот древнерусский символ превращал буквы в числа.	Титло
Фукинагаши — это форма бонсай, словно согнутая ИМ.	Ветер
В ЭТОМ ГОРОДЕ находится Музей хрусталя.	Гусь-Хрустальный
В США пришельцев из ЭТОЙ СТРАНЫ называли чикано.	Мексика
"ЕГО книга называется ""Б. Вавилонская""."	Михаил Веллер
"Именно ЭТОЙ СТРАНЕ принадлежал крейсер ""Дели""."	Индия
ИХ японский подвид занесен в Красную книгу.	Морские львы
По-другому ОН называется шпорник и живокость.	Дельфиниум
По грудь в ЭТОМ стоит Люцифер, по утверждению Данте.	Лед
"Именно ОН написал ""Сказки для идиотов""."	Борис Акунин
Именно ОН подстрелил чеховскую чайку.	Константин Треплев
ЕЕ единственную родную сестру звали Нефрубити.	Хатшепсут
Морфеус был капитаном ЭТОГО КОРАБЛЯ.	"""Навуходоносор"""
Побратимом ЭТОГО ПРИГОРОДА Парижа стал Петергоф.	Версаль
Одним из ЕЕ левых притоков является Большая ЛиАхви.	Кура
В некоторых местностях ИХ называли лихоплЕсками.	Русалки
"ЕГО иногда называют ""армянским ломким хлебом""."	Лаваш
ЭТО грузинское ИМЯ образованно от имени Константин.	Котэ
ОН определил точку как объект, не имеющий частей.	Евклид
ОН с дополнительной строчкой называется хвостатым.	Сонет
"ЕГО порой описывают кеннингом ""враг Локи""."	Хеймдалль
ЭТА буква в азбуке Морзе обозначается одним тире.	"""Т"""
